Best individual;(((((((((((64 / ((((-85 + x376) + 74) / ((x268 + x501) + (x231 + x362))) + x549)) + x462) + (((74 + ((x450 * (x156 + x132)) + ((x491 + x549) + (74 + x447)))) / x549) + (((((x186 + 64) + (x450 * -54)) + ((x450 * -14) + (x444 + x115))) / x549) + x549))) + ((x264 + (74 + (((74 + (x217 + 74)) + (x425 + (x192 + x133))) + ((x450 * (x557 + x462)) + ((x491 + x549) + (74 + x447)))))) + x133)) + ((x425 + (((((x383 + (x7 + x227)) / x549) + x549) + x549) + x133)) + ((64 / (64 / ((((64 + x323) + 74) / x549) + x450))) + ((((64 / x549) + x549) + (74 + x447)) + x462)))) + ((64 / (64 / ((((x425 + ((x462 + x86) + (64 / x549))) + 74) / x549) + x450))) + ((((64 / x549) + x549) + (74 + x447)) + x462))) + (x450 * ((((64 / (x425 + ((x264 + (74 + x447)) + x133))) + x549) + x450) + x462))) + ((x450 * ((((64 / (x425 + ((x264 + (74 + x383)) + x133))) + x549) + (74 + x447)) + x462)) + ((x491 + x549) + (74 + x447)))) / x549) + -54) + (x264 + (74 + x383)))
Duration;239345
Testset error;1986.0586548546135
