Best individual;(((((3 + ((((((20 + (((x480 + (x272 + 47)) + ((21 - x618) + 21)) * x466)) * x361) / (((21 + ((x78 * x536) + (21 + x118))) + ((21 - (x272 / 20)) + 21)) + ((21 - ((18 * x78) / (x175 * x262))) + 21))) * x361) / 20) + 18)) + ((x361 / ((3 + ((21 - (((((20 / x78) * (x72 * 21)) + x212) * x78) / (x175 * x262))) + 21)) * 21)) * x78)) + ((((((((((21 + ((x78 * x536) + (21 + x118))) + ((21 - (x272 / 20)) + 21)) + ((21 - ((18 * x78) / (x175 * x262))) + 21)) + 21) - 21) + (x361 + x107)) + 21) / ((((((x361 / ((3 + (x361 + x107)) * 21)) * x78) + 20) - 21) + (x361 + x78)) * 21)) * ((3 + (x361 + x107)) * 21)) + x212)) + (((((((((21 + ((9 * x149) + (21 + x118))) + ((21 - (x272 / 20)) + 21)) + ((21 - ((18 * x78) / (x175 * x262))) + 21)) + 21) - 21) + (x361 + x107)) + 21) / ((((((x361 / ((3 + (x361 + x107)) * 21)) * x78) + 20) - 21) + (x361 + x78)) * 21)) * ((3 + (x361 + x107)) * 21))) * x480)
Duration;239801
Testset error;1956.9441062604105
