Best individual;(((((((((((((((x211 + x25) - 37) + x25) + x67) + ((79 / (x295 + (x421 * x25))) + x97)) - (x25 - x293)) * x317) - (((x42 * (x283 * x313)) * x25) / x295)) - x293) + ((((((((x67 + (x295 + x406)) + x67) + ((79 / (x295 + 51)) + x97)) - x25) * x317) - (((x42 * (x283 * x313)) * x25) / x295)) - (79 - x25)) + ((((((((-65 * x283) * x25) - x293) - 79) + (x25 * (79 / ((-2 * x283) + (28 * x302))))) + (x365 + ((((36 - 28) + (79 - x25)) + (x25 - x293)) - x25))) - x25) * x283))) + (x25 - x293)) + (x365 + ((((((((x67 + (79 + x97)) - 37) * x317) - (((x42 * (x283 * x313)) * x25) / x295)) - 28) + (79 - x25)) + (x25 - x293)) - x25))) - (((x42 * (28 * (79 - x25))) * ((((x67 + (x295 + ((79 / (79 * (x444 * (79 - x144)))) / 79))) + x67) + x42) / ((x444 + x295) + (x25 - x293)))) / x295)) * x283) + (28 * (79 - x25)))
Duration;242274
Testset error;2068.478757369371
