Best individual;(((((x561 + (x146 + ((((11 + ((x111 + (65 + ((x49 + 65) + (x300 + 11)))) * 23)) + x561) + 65) / ((((((65 + x262) * 23) + x573) * (x146 + x576)) + x573) + (65 + x561))))) + ((((((((((65 + x262) * 23) + x573) * (x146 + x576)) + x573) + (65 + x561)) + (x561 + ((((x300 + 11) + 65) + 65) + x573))) + ((28 + x479) * 23)) * 23) / (x325 + x111))) + (x586 + ((28 + x479) * 23))) + (x561 + (((x541 + x484) + x561) + x573))) + x262)
Duration;245098
Testset error;1871.7496412958687
